track_id,track_name,artists,artist_ids,album,release_date,popularity,duration_ms,preview_url,spotify_url,mood_label,search_query,tags,source_type,source_id,source_name,data_origin
7xwalFclTCBfg77vZtQl4v,Calm Your Stress,Calmly,5OWksQm7ONWIGZqMXovSli,Dreams,2023,,85000,,https://open.spotify.com/track/7xwalFclTCBfg77vZtQl4v,stressed,stress relief playlist,"stressed,stress relief playlist",search,stress relief playlist,stress relief playlist,search
6cWFpWSOjL0XVFsXDofn7B,Stress Relief,Awaken Frequencies,0RcvEcoQgue7orBU9Ql9m6,Peace,2026-06-06,,73086,,https://open.spotify.com/track/6cWFpWSOjL0XVFsXDofn7B,stressed,stress relief playlist,"stressed,stress relief playlist",search,stress relief playlist,stress relief playlist,search
2euVJNKhF4qgUUAAo3pEUH,So Sick,Jubël,4FcZfItjVIsfO9TynErl7X,Letni soundtrack,2026-06-07,,177634,,https://open.spotify.com/track/2euVJNKhF4qgUUAAo3pEUH,romantic,love songs playlist,"romantic,love songs playlist",search,love songs playlist,love songs playlist,search
554CXLtX0FfbYpU246qrr2,NO LOVE,"2Scratch, Swisha T",02qHcQfJCm2XlAnaJ5a6Rh|1KNGrimbkpYFO5jKiBSCLZ,NO LOVE,2020-04-24,,191739,,https://open.spotify.com/track/554CXLtX0FfbYpU246qrr2,romantic,love songs playlist,"romantic,love songs playlist",search,love songs playlist,love songs playlist,search
5oLLC1Enkdr3TB03wFHFx0,Gemt Dit Nummer,"Burhan G, Medina",14nVYgOiwVBJIEATXIDYC8|7c7ZeiPKWHf2E1rsf1P4VF,Gemt Dit Nummer,2026-04-16,,167690,,https://open.spotify.com/track/5oLLC1Enkdr3TB03wFHFx0,romantic,love songs playlist,"romantic,love songs playlist",search,love songs playlist,love songs playlist,search
7K1yMkQqA9ZxHfa2y4XsY6,1-800-LOVE,"MANBO, HIEUTHUHAI, HURRYKNG",2rKtPYcwYmevNcaqzJOwvf|5HZtdKfC4xU0wvhEyYDWiY|5ulyphh5uJrH4Gb1JpSMkV,1-800-LOVE,2020-07-25,,265750,,https://open.spotify.com/track/7K1yMkQqA9ZxHfa2y4XsY6,romantic,love songs playlist,"romantic,love songs playlist",search,love songs playlist,love songs playlist,search
5TKoPn1ZEMXXrypzUFUFqr,Beer On Your Breath,"1gnis, $at.urn",6OO7kCwbgybijUo0O6vjQP|5hrM1jc5L5aTr0qoWzEqBk,Beer On Your Breath,2022-03-25,,161770,,https://open.spotify.com/track/5TKoPn1ZEMXXrypzUFUFqr,romantic,love songs playlist,"romantic,love songs playlist",search,love songs playlist,love songs playlist,search
2SmnoPHetB88xJwC6HJHGv,"LOVE SAND (feat. HIEUTHUHAI, JSOL, Ali Hoàng Dương & Vũ Thịnh)","ANH TRAI ""SAY HI"", HIEUTHUHAI, JSOL, Ali Hoàng Dương, Vũ Thịnh",4wZ6awunqaaVLl5j0WpDFu|5HZtdKfC4xU0wvhEyYDWiY|6EybZ5zwPNEtEngfrEMevN|4RPhZ2g5GYff0hKNBlZKXh|5CmaKrKVwzQ6iQnJx2cGAm,"ANH TRAI ""SAY HI"", Tập 4",2024-07-08,,235179,,https://open.spotify.com/track/2SmnoPHetB88xJwC6HJHGv,romantic,love songs playlist,"romantic,love songs playlist",search,love songs playlist,love songs playlist,search
6rCDfWmlUtjcyONM9RwpZs,Saigon và Em 5 (I'm falling in love with you giữa Saigon),"It's Huy, Minh Huy",2cMw2fHUsnuas3ZJoQhjnL|5zT1Ku9mzzl6RW5y4z0hUK,Saigon và Em 5 (I'm falling in love with you giữa Saigon),2024-04-06,,286129,,https://open.spotify.com/track/6rCDfWmlUtjcyONM9RwpZs,romantic,love songs playlist,"romantic,love songs playlist",search,love songs playlist,love songs playlist,search
2EA15H6i2k7rJoZJ7RpS4A,Rock 'N' Roll (I Gave You The Best Years Of My Life),The Cats,4mplweFSgMgpH03ruEMEMv,Love In Your Eyes,1974-01-01,,299280,,https://open.spotify.com/track/2EA15H6i2k7rJoZJ7RpS4A,romantic,love songs playlist,"romantic,love songs playlist",search,love songs playlist,love songs playlist,search
7pDx0GAKEUZu2KsrVgCV8W,MAKING MY WAY,Sơn Tùng M-TP,5dfZ5uSmzR7VQK0udbAVpf,MAKING MY WAY,2023-05-05,,258006,,https://open.spotify.com/track/7pDx0GAKEUZu2KsrVgCV8W,energetic,gym motivation playlist,"energetic,gym motivation playlist",search,gym motivation playlist,gym motivation playlist,search
24NU99R1NGEVlVIOPO0Ahg,"Có Công Mài ""Sắc"" (Afrobeats ) [DJ Kim Chol Remix]","Ngô Lan Hương, DJ Kim Chol",3y0Tmt0epaxAHy6L89dGGC|4DInqZIinmwQG2znFviwX2,"Có Công Mài ""Sắc"" (Afrobeats ) [DJ Kim Chol Remix]",2026-06-07,,172919,,https://open.spotify.com/track/24NU99R1NGEVlVIOPO0Ahg,energetic,gym motivation playlist,"energetic,gym motivation playlist",search,gym motivation playlist,gym motivation playlist,search
7qyAnLf3PVQ9bLbVlc0EGQ,Vinflow,"Wxrdie, WOKEUP, 2Pillz",1Jmkhzve9TuXHUUWGmpANw|0qAJ604EZMbkbpZ9NN6W6d|0XtC2d9ZVigYA7iMy5YkW0,420ent.,2023-04-20,,168704,,https://open.spotify.com/track/7qyAnLf3PVQ9bLbVlc0EGQ,energetic,gym motivation playlist,"energetic,gym motivation playlist",search,gym motivation playlist,gym motivation playlist,search
6jghnZHYAyNlEiWbxDITjy,Ghen,"MIN, ERIK, Khắc Hưng",0IdAjS2LRieBR3gzoazdAw|1L1VfizWn4DkFt602yD80U|2mx5AAdmlMxMcrcd7AQh1j,Ghen,2024-01-10,,247200,,https://open.spotify.com/track/6jghnZHYAyNlEiWbxDITjy,energetic,gym motivation playlist,"energetic,gym motivation playlist",search,gym motivation playlist,gym motivation playlist,search
4TEZ8NGvK78ihfJzHSJDSB,His Story,Hustlang Robber,3JWIaDWHJq11w1xPqJStEv,His Story,2022-01-15,,227337,,https://open.spotify.com/track/4TEZ8NGvK78ihfJzHSJDSB,energetic,gym motivation playlist,"energetic,gym motivation playlist",search,gym motivation playlist,gym motivation playlist,search
3aQgnzmHpV2UeJz2xnvMbX,LAM,"Dick, Lãng",1tikl40deDgJWS57GTKiVh|39HlpQmjGAer2XWNh0Ro83,LAM,2024-06-28,,241161,,https://open.spotify.com/track/3aQgnzmHpV2UeJz2xnvMbX,energetic,gym motivation playlist,"energetic,gym motivation playlist",search,gym motivation playlist,gym motivation playlist,search
5X2XbxHM4YiLmYXIQIpCMn,Calma - Instrumental,Guitar Tribute Players,3AoiBjr0pSGswX96XxEgH7,Top 20 Acoustic Tracks Winter 2019 (Instrumental),2019-03-15,,173573,,https://open.spotify.com/track/5X2XbxHM4YiLmYXIQIpCMn,stressed,calming instrumental playlist,"stressed,calming instrumental playlist",search,calming instrumental playlist,calming instrumental playlist,search
5YVmHTAsdWnoanWXB7AwZX,like my father,Jax,7DQYAz99eM3Y5PkP9WtUew,like my father,2021-06-03,,183133,,https://open.spotify.com/track/5YVmHTAsdWnoanWXB7AwZX,romantic,date night playlist,"romantic,date night playlist",search,date night playlist,date night playlist,search
58UKC45GPNTflCN6nwCUeF,Fancy Like,Walker Hayes,7sKxqpSqbIzphAKAhrqvlf,Country Stuff The Album,2022-01-21,,161853,,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF,romantic,date night playlist,"romantic,date night playlist",search,date night playlist,date night playlist,search
0JJeoiCAa1hwcBsPxBN2w4,"Sunday (feat. HEIZE, Jay Park)","GroovyRoom, Heize, Jay Park",29HqjVbJr3vsc2l6BTI4eB|5dCvSnVduaFleCnyy98JMo|4XDi67ZENZcbfKnvMnTYsI,EVERYWHERE,2017-07-24,,182300,,https://open.spotify.com/track/0JJeoiCAa1hwcBsPxBN2w4,romantic,date night playlist,"romantic,date night playlist",search,date night playlist,date night playlist,search
