track_id,track_name,artists,artist_ids,album,release_date,popularity,duration_ms,preview_url,spotify_url,album_id,album_type,explicit,disc_number,track_number,isrc,added_at,source_type,source_id,source_name,track_name_clean,artists_clean,data_origin,mood_label,search_query,tags,genres
67NAtoGMdqY6nGZ6NIEdp0,Santa Monica,BUBBLE TEA AND CIGARETTES,2UMeX51X1prCFgi51RHo9P,There's Nothing But Pleasure,2022-09-02,,344697,,https://open.spotify.com/track/67NAtoGMdqY6nGZ6NIEdp0,6rOq9SOfxe3XsN3vBJUGOt,album,False,1.0,3.0,ES6642100075,2026-06-07T17:16:49Z,liked,liked,Liked Songs,santa monica,bubble tea and cigarettes,profile,,,,
6ta5yavnnEfCE4faU0jebM,Mr Blue,Catherine Feeny,2PKUc5LXsZNjqOpAZKcFgz,Hurricane Glass,2006,,154600,,https://open.spotify.com/track/6ta5yavnnEfCE4faU0jebM,5kT4P1c9Hq1OHuNw7sOupq,album,False,1.0,2.0,GBMPS0600002,2026-06-07T11:12:23Z,liked,liked,Liked Songs,mr blue,catherine feeny,profile,,,,
0qWoOHqTirzo59FQ9eoECH,All I Did Was Dream of You (feat. The Marías),"beabadoobee, The Marías",35l9BRT7MXmM8bv2WDQiyB|2sSGPbdZJkaSE2AbcGOACx,All I Did Was Dream of You (feat. The Marías),2026-03-12,,223788,,https://open.spotify.com/track/0qWoOHqTirzo59FQ9eoECH,4cC1e65OnA1NdyiuvdnwSt,single,False,1.0,1.0,USA2P2532105,2026-06-06T07:13:30Z,liked,liked,Liked Songs,all i did was dream of you feat the marías,beabadoobee the marías,profile,,,,
30EldS3xSf98r4S6BOf7ZP,In Your Arms,Mr.Kitty,0pWwt5vGNzezEhfAcc420Y,Ephemeral,2019-05-24,,220957,,https://open.spotify.com/track/30EldS3xSf98r4S6BOf7ZP,4aJdRGvDt8BAU8Po8Sr3dg,album,False,2.0,4.0,USY251943257,2026-04-30T08:38:15Z,liked,liked,Liked Songs,in your arms,mrkitty,profile,,,,
3SrSjUKxAJ6Cq1vpe1mqCZ,I Blame The World,Sasha Alex Sloan,4xnihxcoXWK3UqryOSnbw5,I Blame The World,2022-04-08,,197266,,https://open.spotify.com/track/3SrSjUKxAJ6Cq1vpe1mqCZ,7mIYNERWd8SdGObD8GrO2F,single,False,1.0,1.0,USRC12103807,2026-04-29T17:55:16Z,liked,liked,Liked Songs,i blame the world,sasha alex sloan,profile,,,,
0BeR2fJmYnKNn7IORw3GR9,warm,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,eternal sunshine deluxe: brighter days ahead,2025-03-28,,201905,,https://open.spotify.com/track/0BeR2fJmYnKNn7IORw3GR9,6cbwstHlsAIIWurIIXXBPd,album,False,1.0,16.0,USUM72501916,2026-04-29T04:39:04Z,liked,liked,Liked Songs,warm,ariana grande,profile,,,,
2cc8Sw1OnCuA5bV8nqWqpE,You,"Regard, Troye Sivan, Tate McRae",4ofCBoyEiGSePFAG500xev|3WGpXCj9YhhfX11TToZcXP|45dkTj5sMRSjrmBSBeiHym,You,2021-04-16,,233386,,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE,6cWawCk4DohREQA42eEOe1,single,True,1.0,1.0,GBCEN2100035,2026-04-27T20:58:13Z,liked,liked,Liked Songs,you,regard troye sivan tate mcrae,profile,,,,
3TxKtkCNR1yQARsvHxvNnP,Tokyo Nights,"Digital Farm Animals, Shaun Frank, Dragonette",5fyDppLDl1juIu1BcUT5zh|0BBwlSQvHHtahgYpLj1wJE|4GLJPBj5Cdr9AgLKvLWM4n,Tokyo Nights,2018-03-30,,243535,,https://open.spotify.com/track/3TxKtkCNR1yQARsvHxvNnP,5HUnOrUfjPtcpdCpnSLBq8,single,False,1.0,1.0,GBHMU1700044,2026-04-27T18:18:37Z,liked,liked,Liked Songs,tokyo nights,digital farm animals shaun frank dragonette,profile,,,,
4WvpnhljGX2eSEMeE3rrhz,Drive Thru,"Ivoris, r.em.edy",7wuKa2bUMTCPspwY00Erji|2zimfjugiCq53nziN8cenP,Drive Thru,2022-06-29,,193500,,https://open.spotify.com/track/4WvpnhljGX2eSEMeE3rrhz,6YXkNx8ja2YzuZAn3yeve1,single,True,1.0,1.0,AUMEV2256156,2026-04-27T17:43:26Z,liked,liked,Liked Songs,drive thru,ivoris remedy,profile,,,,
31sSFHIe4NaxltVFOEIcTa,working,"Tate McRae, Khalid",45dkTj5sMRSjrmBSBeiHym|6LuN9FCkKOj5PcnpouEgny,working,2021-06-17,,210219,,https://open.spotify.com/track/31sSFHIe4NaxltVFOEIcTa,4iCcsBlzVQVZoJzxBvhuyS,single,True,1.0,1.0,USRC12101632,2026-04-27T17:19:41Z,liked,liked,Liked Songs,working,tate mcrae khalid,profile,,,,
